foodEnhanceIndate,foodName,ingredientIndate,ingredientName,quantity
2025-07-27T05:59:29.581Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.621Z,덩굴 줄기,7
2025-07-27T05:59:29.792Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.621Z,덩굴 줄기,11
2025-07-27T05:59:29.993Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.621Z,덩굴 줄기,16
2025-07-27T05:59:30.204Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.621Z,덩굴 줄기,22
2025-07-27T05:59:30.431Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.621Z,덩굴 줄기,29
2025-07-27T05:59:30.644Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.621Z,덩굴 줄기,37

2025-07-27T05:59:28.952Z,덩굴버섯 오믈렛,2025-07-16T02:27:45.379Z,버섯 갓,1
2025-07-27T05:59:29.171Z,덩굴버섯 오믈렛,2025-07-16T02:27:45.379Z,버섯 갓,2
2025-07-27T05:59:29.375Z,덩굴버섯 오믈렛,2025-07-16T02:27:45.379Z,버섯 갓,4
2025-07-27T05:59:29.581Z,덩굴버섯 오믈렛,2025-07-16T02:27:45.379Z,버섯 갓,7
2025-07-27T05:59:29.792Z,덩굴버섯 오믈렛,2025-07-16T02:27:45.379Z,버섯 갓,11
2025-07-27T05:59:29.993Z,덩굴버섯 오믈렛,2025-07-16T02:27:45.379Z,버섯 갓,16
2025-07-27T05:59:30.204Z,덩굴버섯 오믈렛,2025-07-16T02:27:45.379Z,버섯 갓,22
2025-07-27T05:59:30.431Z,덩굴버섯 오믈렛,2025-07-16T02:27:45.379Z,버섯 갓,29
2025-07-27T05:59:30.644Z,덩굴버섯 오믈렛,2025-07-16T02:27:45.379Z,버섯 갓,37

2025-07-27T05:59:28.952Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.030Z,문어 우유,1
2025-07-27T05:59:29.171Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.030Z,문어 우유,2
2025-07-27T05:59:29.375Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.030Z,문어 우유,3
2025-07-27T05:59:29.581Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.030Z,문어 우유,5
2025-07-27T05:59:29.792Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.030Z,문어 우유,8
2025-07-27T05:59:29.993Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.030Z,문어 우유,12
2025-07-27T05:59:30.204Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.030Z,문어 우유,17
2025-07-27T05:59:30.431Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.030Z,문어 우유,23
2025-07-27T05:59:30.644Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.030Z,문어 우유,30

2025-07-27T05:59:26.814Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:46.704Z,그리핀 알,1
2025-07-27T05:59:27.031Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:46.704Z,그리핀 알,2
2025-07-27T05:59:27.239Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:46.704Z,그리핀 알,4
2025-07-27T05:59:27.453Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:46.704Z,그리핀 알,7
2025-07-27T05:59:27.683Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:46.704Z,그리핀 알,11
2025-07-27T05:59:27.972Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:46.704Z,그리핀 알,16
2025-07-27T05:59:28.241Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:46.704Z,그리핀 알,22
2025-07-27T05:59:28.530Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:46.704Z,그리핀 알,29
2025-07-27T05:59:28.740Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:46.704Z,그리핀 알,37

2025-07-27T05:59:26.814Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:47.023Z,맨드레이크 이파리,2
2025-07-27T05:59:27.031Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:47.023Z,맨드레이크 이파리,3
2025-07-27T05:59:27.239Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:47.023Z,맨드레이크 이파리,4
2025-07-27T05:59:27.453Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:47.023Z,맨드레이크 이파리,6
2025-07-27T05:59:27.683Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:47.023Z,맨드레이크 이파리,10
2025-07-27T05:59:27.972Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:47.023Z,맨드레이크 이파리,18
2025-07-27T05:59:28.241Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:47.023Z,맨드레이크 이파리,27
2025-07-27T05:59:28.530Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:47.023Z,맨드레이크 이파리,34
2025-07-27T05:59:28.740Z,태양 사냥꾼 오믈렛,2025-07-16T02:27:47.023Z,맨드레이크 이파리,45

2025-07-27T05:59:24.821Z,슬라임 푸딩,2025-07-16T02:27:44.160Z,슬라임 점액,1
2025-07-27T05:59:25.022Z,슬라임 푸딩,2025-07-16T02:27:44.160Z,슬라임 점액,2
2025-07-27T05:59:25.230Z,슬라임 푸딩,2025-07-16T02:27:44.160Z,슬라임 점액,4
2025-07-27T05:59:25.428Z,슬라임 푸딩,2025-07-16T02:27:44.160Z,슬라임 점액,7
2025-07-27T05:59:25.643Z,슬라임 푸딩,2025-07-16T02:27:44.160Z,슬라임 점액,11
2025-07-27T05:59:25.988Z,슬라임 푸딩,2025-07-16T02:27:44.160Z,슬라임 점액,16
2025-07-27T05:59:26.205Z,슬라임 푸딩,2025-07-16T02:27:44.160Z,슬라임 점액,22
2025-07-27T05:59:26.413Z,슬라임 푸딩,2025-07-16T02:27:44.160Z,슬라임 점액,29
2025-07-27T05:59:26.613Z,슬라임 푸딩,2025-07-16T02:27:44.160Z,슬라임 점액,37

2025-07-27T05:59:24.821Z,슬라임 푸딩,2025-07-16T02:27:44.454Z,슬라임 정제수,2
2025-07-27T05:59:25.022Z,슬라임 푸딩,2025-07-16T02:27:44.454Z,슬라임 정제수,3
2025-07-27T05:59:25.230Z,슬라임 푸딩,2025-07-16T02:27:44.454Z,슬라임 정제수,5
2025-07-27T05:59:25.428Z,슬라임 푸딩,2025-07-16T02:27:44.454Z,슬라임 정제수,7
2025-07-27T05:59:25.643Z,슬라임 푸딩,2025-07-16T02:27:44.454Z,슬라임 정제수,10
2025-07-27T05:59:25.988Z,슬라임 푸딩,2025-07-16T02:27:44.454Z,슬라임 정제수,14
2025-07-27T05:59:26.205Z,슬라임 푸딩,2025-07-16T02:27:44.454Z,슬라임 정제수,19
2025-07-27T05:59:26.413Z,슬라임 푸딩,2025-07-16T02:27:44.454Z,슬라임 정제수,25
2025-07-27T05:59:26.613Z,슬라임 푸딩,2025-07-16T02:27:44.454Z,슬라임 정제수,32

2025-07-27T05:59:22.855Z,점액 내장죽,2025-07-16T02:27:44.299Z,슬라임 내장,1
2025-07-27T05:59:23.010Z,점액 내장죽,2025-07-16T02:27:44.299Z,슬라임 내장,2
2025-07-27T05:59:23.258Z,점액 내장죽,2025-07-16T02:27:44.299Z,슬라임 내장,4
2025-07-27T05:59:23.478Z,점액 내장죽,2025-07-16T02:27:44.299Z,슬라임 내장,7
2025-07-27T05:59:23.800Z,점액 내장죽,2025-07-16T02:27:44.299Z,슬라임 내장,11
2025-07-27T05:59:24.019Z,점액 내장죽,2025-07-16T02:27:44.299Z,슬라임 내장,16
2025-07-27T05:59:24.216Z,점액 내장죽,2025-07-16T02:27:44.299Z,슬라임 내장,22
2025-07-27T05:59:24.420Z,점액 내장죽,2025-07-16T02:27:44.299Z,슬라임 내장,29
2025-07-27T05:59:24.620Z,점액 내장죽,2025-07-16T02:27:44.299Z,슬라임 내장,37

2025-07-27T05:59:22.855Z,점액 내장죽,2025-07-16T02:27:44.030Z,문어 우유,1
2025-07-27T05:59:23.010Z,점액 내장죽,2025-07-16T02:27:44.030Z,문어 우유,2
2025-07-27T05:59:23.258Z,점액 내장죽,2025-07-16T02:27:44.030Z,문어 우유,3
2025-07-27T05:59:23.478Z,점액 내장죽,2025-07-16T02:27:44.030Z,문어 우유,5
2025-07-27T05:59:23.800Z,점액 내장죽,2025-07-16T02:27:44.030Z,문어 우유,8
2025-07-27T05:59:24.019Z,점액 내장죽,2025-07-16T02:27:44.030Z,문어 우유,12
2025-07-27T05:59:24.216Z,점액 내장죽,2025-07-16T02:27:44.030Z,문어 우유,17
2025-07-27T05:59:24.420Z,점액 내장죽,2025-07-16T02:27:44.030Z,문어 우유,23
2025-07-27T05:59:24.620Z,점액 내장죽,2025-07-16T02:27:44.030Z,문어 우유,30

2025-07-27T05:59:21.475Z,오크 해장국,2025-07-16T02:27:45.958Z,오크 뼈,2
2025-07-27T05:59:21.646Z,오크 해장국,2025-07-16T02:27:45.958Z,오크 뼈,3
2025-07-27T05:59:21.785Z,오크 해장국,2025-07-16T02:27:45.958Z,오크 뼈,5
2025-07-27T05:59:21.940Z,오크 해장국,2025-07-16T02:27:45.958Z,오크 뼈,8
2025-07-27T05:59:22.101Z,오크 해장국,2025-07-16T02:27:45.958Z,오크 뼈,12
2025-07-27T05:59:22.242Z,오크 해장국,2025-07-16T02:27:45.958Z,오크 뼈,16
2025-07-27T05:59:22.389Z,오크 해장국,2025-07-16T02:27:45.958Z,오크 뼈,24
2025-07-27T05:59:22.549Z,오크 해장국,2025-07-16T02:27:45.958Z,오크 뼈,29
2025-07-27T05:59:22.700Z,오크 해장국,2025-07-16T02:27:45.958Z,오크 뼈,38

2025-07-27T05:59:21.475Z,오크 해장국,2025-07-16T02:27:45.802Z,오크 베이컨,1
2025-07-27T05:59:21.646Z,오크 해장국,2025-07-16T02:27:45.802Z,오크 베이컨,2
2025-07-27T05:59:21.785Z,오크 해장국,2025-07-16T02:27:45.802Z,오크 베이컨,4
2025-07-27T05:59:21.940Z,오크 해장국,2025-07-16T02:27:45.802Z,오크 베이컨,7
2025-07-27T05:59:22.101Z,오크 해장국,2025-07-16T02:27:45.802Z,오크 베이컨,11
2025-07-27T05:59:22.242Z,오크 해장국,2025-07-16T02:27:45.802Z,오크 베이컨,16
2025-07-27T05:59:22.389Z,오크 해장국,2025-07-16T02:27:45.802Z,오크 베이컨,22
2025-07-27T05:59:22.549Z,오크 해장국,2025-07-16T02:27:45.802Z,오크 베이컨,29
2025-07-27T05:59:22.700Z,오크 해장국,2025-07-16T02:27:45.802Z,오크 베이컨,37

2025-07-27T05:59:21.475Z,오크 해장국,2025-07-16T02:27:44.454Z,슬라임 정제수,1
2025-07-27T05:59:21.646Z,오크 해장국,2025-07-16T02:27:44.454Z,슬라임 정제수,2
2025-07-27T05:59:21.785Z,오크 해장국,2025-07-16T02:27:44.454Z,슬라임 정제수,3
2025-07-27T05:59:21.940Z,오크 해장국,2025-07-16T02:27:44.454Z,슬라임 정제수,5
2025-07-27T05:59:22.101Z,오크 해장국,2025-07-16T02:27:44.454Z,슬라임 정제수,8
2025-07-27T05:59:22.242Z,오크 해장국,2025-07-16T02:27:44.454Z,슬라임 정제수,12
2025-07-27T05:59:22.389Z,오크 해장국,2025-07-16T02:27:44.454Z,슬라임 정제수,17
2025-07-27T05:59:22.549Z,오크 해장국,2025-07-16T02:27:44.454Z,슬라임 정제수,23
2025-07-27T05:59:22.700Z,오크 해장국,2025-07-16T02:27:44.454Z,슬라임 정제수,30

2025-07-27T05:59:20.023Z,꼬치 구이,2025-07-16T02:27:46.869Z,그리핀 가슴살,2
2025-07-27T05:59:20.276Z,꼬치 구이,2025-07-16T02:27:46.869Z,그리핀 가슴살,4
2025-07-27T05:59:20.423Z,꼬치 구이,2025-07-16T02:27:46.869Z,그리핀 가슴살,7
2025-07-27T05:59:20.574Z,꼬치 구이,2025-07-16T02:27:46.869Z,그리핀 가슴살,9
2025-07-27T05:59:20.711Z,꼬치 구이,2025-07-16T02:27:46.869Z,그리핀 가슴살,15
2025-07-27T05:59:20.856Z,꼬치 구이,2025-07-16T02:27:46.869Z,그리핀 가슴살,22
2025-07-27T05:59:21.007Z,꼬치 구이,2025-07-16T02:27:46.869Z,그리핀 가슴살,27
2025-07-27T05:59:21.156Z,꼬치 구이,2025-07-16T02:27:46.869Z,그리핀 가슴살,35
2025-07-27T05:59:21.317Z,꼬치 구이,2025-07-16T02:27:46.869Z,그리핀 가슴살,44

2025-07-27T05:59:20.023Z,꼬치 구이,2025-07-16T02:27:46.113Z,미노타우르스 소고기,2
2025-07-27T05:59:20.276Z,꼬치 구이,2025-07-16T02:27:46.113Z,미노타우르스 소고기,4
2025-07-27T05:59:20.423Z,꼬치 구이,2025-07-16T02:27:46.113Z,미노타우르스 소고기,7
2025-07-27T05:59:20.574Z,꼬치 구이,2025-07-16T02:27:46.113Z,미노타우르스 소고기,9
2025-07-27T05:59:20.711Z,꼬치 구이,2025-07-16T02:27:46.113Z,미노타우르스 소고기,15
2025-07-27T05:59:20.856Z,꼬치 구이,2025-07-16T02:27:46.113Z,미노타우르스 소고기,22
2025-07-27T05:59:21.007Z,꼬치 구이,2025-07-16T02:27:46.113Z,미노타우르스 소고기,27
2025-07-27T05:59:21.156Z,꼬치 구이,2025-07-16T02:27:46.113Z,미노타우르스 소고기,35
2025-07-27T05:59:21.317Z,꼬치 구이,2025-07-16T02:27:46.113Z,미노타우르스 소고기,44

2025-07-27T05:59:20.023Z,꼬치 구이,2025-07-16T02:27:45.528Z,오크 삼겹살,1
2025-07-27T05:59:20.276Z,꼬치 구이,2025-07-16T02:27:45.528Z,오크 삼겹살,2
2025-07-27T05:59:20.423Z,꼬치 구이,2025-07-16T02:27:45.528Z,오크 삼겹살,3
2025-07-27T05:59:20.574Z,꼬치 구이,2025-07-16T02:27:45.528Z,오크 삼겹살,5
2025-07-27T05:59:20.711Z,꼬치 구이,2025-07-16T02:27:45.528Z,오크 삼겹살,8
2025-07-27T05:59:20.856Z,꼬치 구이,2025-07-16T02:27:45.528Z,오크 삼겹살,12
2025-07-27T05:59:21.007Z,꼬치 구이,2025-07-16T02:27:45.528Z,오크 삼겹살,20
2025-07-27T05:59:21.156Z,꼬치 구이,2025-07-16T02:27:45.528Z,오크 삼겹살,30
2025-07-27T05:59:21.317Z,꼬치 구이,2025-07-16T02:27:45.528Z,오크 삼겹살,39

2025-07-27T05:59:18.752Z,크라켄 먹물 리조또,2025-07-16T02:27:43.737Z,문어 먹물,2
2025-07-27T05:59:18.878Z,크라켄 먹물 리조또,2025-07-16T02:27:43.737Z,문어 먹물,3
2025-07-27T05:59:19.021Z,크라켄 먹물 리조또,2025-07-16T02:27:43.737Z,문어 먹물,5
2025-07-27T05:59:19.162Z,크라켄 먹물 리조또,2025-07-16T02:27:43.737Z,문어 먹물,7
2025-07-27T05:59:19.291Z,크라켄 먹물 리조또,2025-07-16T02:27:43.737Z,문어 먹물,10
2025-07-27T05:59:19.440Z,크라켄 먹물 리조또,2025-07-16T02:27:43.737Z,문어 먹물,14
2025-07-27T05:59:19.584Z,크라켄 먹물 리조또,2025-07-16T02:27:43.737Z,문어 먹물,19
2025-07-27T05:59:19.745Z,크라켄 먹물 리조또,2025-07-16T02:27:43.737Z,문어 먹물,25
2025-07-27T05:59:19.879Z,크라켄 먹물 리조또,2025-07-16T02:27:43.737Z,문어 먹물,32

2025-07-27T05:59:18.752Z,크라켄 먹물 리조또,2025-07-16T02:27:43.883Z,문어 눈알,1
2025-07-27T05:59:18.878Z,크라켄 먹물 리조또,2025-07-16T02:27:43.883Z,문어 눈알,2
2025-07-27T05:59:19.021Z,크라켄 먹물 리조또,2025-07-16T02:27:43.883Z,문어 눈알,3
2025-07-27T05:59:19.162Z,크라켄 먹물 리조또,2025-07-16T02:27:43.883Z,문어 눈알,5
2025-07-27T05:59:19.291Z,크라켄 먹물 리조또,2025-07-16T02:27:43.883Z,문어 눈알,8
2025-07-27T05:59:19.440Z,크라켄 먹물 리조또,2025-07-16T02:27:43.883Z,문어 눈알,12
2025-07-27T05:59:19.584Z,크라켄 먹물 리조또,2025-07-16T02:27:43.883Z,문어 눈알,17
2025-07-27T05:59:19.745Z,크라켄 먹물 리조또,2025-07-16T02:27:43.883Z,문어 눈알,23
2025-07-27T05:59:19.879Z,크라켄 먹물 리조또,2025-07-16T02:27:43.883Z,문어 눈알,30

2025-07-27T05:59:17.453Z,버섯 전골,2025-07-16T02:27:45.379Z,버섯 갓,1
2025-07-27T05:59:17.603Z,버섯 전골,2025-07-16T02:27:45.379Z,버섯 갓,2
2025-07-27T05:59:17.741Z,버섯 전골,2025-07-16T02:27:45.379Z,버섯 갓,4
2025-07-27T05:59:17.894Z,버섯 전골,2025-07-16T02:27:45.379Z,버섯 갓,7
2025-07-27T05:59:18.039Z,버섯 전골,2025-07-16T02:27:45.379Z,버섯 갓,11
2025-07-27T05:59:18.181Z,버섯 전골,2025-07-16T02:27:45.379Z,버섯 갓,16
2025-07-27T05:59:18.347Z,버섯 전골,2025-07-16T02:27:45.379Z,버섯 갓,22
2025-07-27T05:59:18.482Z,버섯 전골,2025-07-16T02:27:45.379Z,버섯 갓,29
2025-07-27T05:59:18.615Z,버섯 전골,2025-07-16T02:27:45.379Z,버섯 갓,37

2025-07-27T05:59:17.453Z,버섯 전골,2025-07-16T02:27:45.802Z,오크 베이컨,1
2025-07-27T05:59:17.603Z,버섯 전골,2025-07-16T02:27:45.802Z,오크 베이컨,2
2025-07-27T05:59:17.741Z,버섯 전골,2025-07-16T02:27:45.802Z,오크 베이컨,4
2025-07-27T05:59:17.894Z,버섯 전골,2025-07-16T02:27:45.802Z,오크 베이컨,7
2025-07-27T05:59:18.039Z,버섯 전골,2025-07-16T02:27:45.802Z,오크 베이컨,11
2025-07-27T05:59:18.181Z,버섯 전골,2025-07-16T02:27:45.802Z,오크 베이컨,16
2025-07-27T05:59:18.347Z,버섯 전골,2025-07-16T02:27:45.802Z,오크 베이컨,22
2025-07-27T05:59:18.482Z,버섯 전골,2025-07-16T02:27:45.802Z,오크 베이컨,29
2025-07-27T05:59:18.615Z,버섯 전골,2025-07-16T02:27:45.802Z,오크 베이컨,37

2025-07-27T05:59:17.453Z,버섯 전골,2025-07-16T02:27:44.454Z,슬라임 정제수,1
2025-07-27T05:59:17.603Z,버섯 전골,2025-07-16T02:27:44.454Z,슬라임 정제수,2
2025-07-27T05:59:17.741Z,버섯 전골,2025-07-16T02:27:44.454Z,슬라임 정제수,3
2025-07-27T05:59:17.894Z,버섯 전골,2025-07-16T02:27:44.454Z,슬라임 정제수,5
2025-07-27T05:59:18.039Z,버섯 전골,2025-07-16T02:27:44.454Z,슬라임 정제수,8
2025-07-27T05:59:18.181Z,버섯 전골,2025-07-16T02:27:44.454Z,슬라임 정제수,12
2025-07-27T05:59:18.347Z,버섯 전골,2025-07-16T02:27:44.454Z,슬라임 정제수,17
2025-07-27T05:59:18.482Z,버섯 전골,2025-07-16T02:27:44.454Z,슬라임 정제수,23
2025-07-27T05:59:18.615Z,버섯 전골,2025-07-16T02:27:44.454Z,슬라임 정제수,30

2025-07-27T05:59:16.091Z,미믹 바비큐 플레이트,2025-07-16T02:27:45.068Z,미믹 살점,2
2025-07-27T05:59:16.241Z,미믹 바비큐 플레이트,2025-07-16T02:27:45.068Z,미믹 살점,3
2025-07-27T05:59:16.378Z,미믹 바비큐 플레이트,2025-07-16T02:27:45.068Z,미믹 살점,5
2025-07-27T05:59:16.528Z,미믹 바비큐 플레이트,2025-07-16T02:27:45.068Z,미믹 살점,8
2025-07-27T05:59:16.672Z,미믹 바비큐 플레이트,2025-07-16T02:27:45.068Z,미믹 살점,12
2025-07-27T05:59:16.827Z,미믹 바비큐 플레이트,2025-07-16T02:27:45.068Z,미믹 살점,18
2025-07-27T05:59:17.010Z,미믹 바비큐 플레이트,2025-07-16T02:27:45.068Z,미믹 살점,19
2025-07-27T05:59:17.153Z,미믹 바비큐 플레이트,2025-07-16T02:27:45.068Z,미믹 살점,32
2025-07-27T05:59:17.312Z,미믹 바비큐 플레이트,2025-07-16T02:27:45.068Z,미믹 살점,40

2025-07-27T05:59:16.091Z,미믹 바비큐 플레이트,2025-07-16T02:27:44.781Z,고대의 껍질 조각,2
2025-07-27T05:59:16.241Z,미믹 바비큐 플레이트,2025-07-16T02:27:44.781Z,고대의 껍질 조각,3
2025-07-27T05:59:16.378Z,미믹 바비큐 플레이트,2025-07-16T02:27:44.781Z,고대의 껍질 조각,5
2025-07-27T05:59:16.528Z,미믹 바비큐 플레이트,2025-07-16T02:27:44.781Z,고대의 껍질 조각,8
2025-07-27T05:59:16.672Z,미믹 바비큐 플레이트,2025-07-16T02:27:44.781Z,고대의 껍질 조각,12
2025-07-27T05:59:16.827Z,미믹 바비큐 플레이트,2025-07-16T02:27:44.781Z,고대의 껍질 조각,18
2025-07-27T05:59:17.010Z,미믹 바비큐 플레이트,2025-07-16T02:27:44.781Z,고대의 껍질 조각,19
2025-07-27T05:59:17.153Z,미믹 바비큐 플레이트,2025-07-16T02:27:44.781Z,고대의 껍질 조각,32
2025-07-27T05:59:17.312Z,미믹 바비큐 플레이트,2025-07-16T02:27:44.781Z,고대의 껍질 조각,40

2025-07-27T05:59:14.773Z,불멸의 뿌리 수프,2025-07-16T02:27:46.483Z,그리핀 부리,2
2025-07-27T05:59:14.942Z,불멸의 뿌리 수프,2025-07-16T02:27:46.483Z,그리핀 부리,3
2025-07-27T05:59:15.102Z,불멸의 뿌리 수프,2025-07-16T02:27:46.483Z,그리핀 부리,5
2025-07-27T05:59:15.225Z,불멸의 뿌리 수프,2025-07-16T02:27:46.483Z,그리핀 부리,8
2025-07-27T05:59:15.359Z,불멸의 뿌리 수프,2025-07-16T02:27:46.483Z,그리핀 부리,12
2025-07-27T05:59:15.506Z,불멸의 뿌리 수프,2025-07-16T02:27:46.483Z,그리핀 부리,18
2025-07-27T05:59:15.650Z,불멸의 뿌리 수프,2025-07-16T02:27:46.483Z,그리핀 부리,19
2025-07-27T05:59:15.802Z,불멸의 뿌리 수프,2025-07-16T02:27:46.483Z,그리핀 부리,32
2025-07-27T05:59:15.947Z,불멸의 뿌리 수프,2025-07-16T02:27:46.483Z,그리핀 부리,40

2025-07-27T05:59:14.773Z,불멸의 뿌리 수프,2025-07-16T02:27:47.164Z,죽은 맨드레이크,2
2025-07-27T05:59:14.942Z,불멸의 뿌리 수프,2025-07-16T02:27:47.164Z,죽은 맨드레이크,3
2025-07-27T05:59:15.102Z,불멸의 뿌리 수프,2025-07-16T02:27:47.164Z,죽은 맨드레이크,5
2025-07-27T05:59:15.225Z,불멸의 뿌리 수프,2025-07-16T02:27:47.164Z,죽은 맨드레이크,8
2025-07-27T05:59:15.359Z,불멸의 뿌리 수프,2025-07-16T02:27:47.164Z,죽은 맨드레이크,12
2025-07-27T05:59:15.506Z,불멸의 뿌리 수프,2025-07-16T02:27:47.164Z,죽은 맨드레이크,18
2025-07-27T05:59:15.650Z,불멸의 뿌리 수프,2025-07-16T02:27:47.164Z,죽은 맨드레이크,19
2025-07-27T05:59:15.802Z,불멸의 뿌리 수프,2025-07-16T02:27:47.164Z,죽은 맨드레이크,32
2025-07-27T05:59:15.947Z,불멸의 뿌리 수프,2025-07-16T02:27:47.164Z,죽은 맨드레이크,40

2025-07-27T05:59:13.534Z,화염의 심장 스테이크,2025-07-16T02:27:47.478Z,그린 드래곤 심장,3
2025-07-27T05:59:13.664Z,화염의 심장 스테이크,2025-07-16T02:27:47.478Z,그린 드래곤 심장,6
2025-07-27T05:59:13.794Z,화염의 심장 스테이크,2025-07-16T02:27:47.478Z,그린 드래곤 심장,10
2025-07-27T05:59:13.916Z,화염의 심장 스테이크,2025-07-16T02:27:47.478Z,그린 드래곤 심장,15
2025-07-27T05:59:14.059Z,화염의 심장 스테이크,2025-07-16T02:27:47.478Z,그린 드래곤 심장,30
2025-07-27T05:59:14.206Z,화염의 심장 스테이크,2025-07-16T02:27:47.478Z,그린 드래곤 심장,38
2025-07-27T05:59:14.355Z,화염의 심장 스테이크,2025-07-16T02:27:47.478Z,그린 드래곤 심장,49
2025-07-27T05:59:14.500Z,화염의 심장 스테이크,2025-07-16T02:27:47.478Z,그린 드래곤 심장,60
2025-07-27T05:59:14.630Z,화염의 심장 스테이크,2025-07-16T02:27:47.478Z,그린 드래곤 심장,80

2025-07-27T05:59:13.534Z,화염의 심장 스테이크,2025-07-16T02:27:46.113Z,미노타우르스 소고기,2
2025-07-27T05:59:13.664Z,화염의 심장 스테이크,2025-07-16T02:27:46.113Z,미노타우르스 소고기,4
2025-07-27T05:59:13.794Z,화염의 심장 스테이크,2025-07-16T02:27:46.113Z,미노타우르스 소고기,7
2025-07-27T05:59:13.916Z,화염의 심장 스테이크,2025-07-16T02:27:46.113Z,미노타우르스 소고기,11
2025-07-27T05:59:14.059Z,화염의 심장 스테이크,2025-07-16T02:27:46.113Z,미노타우르스 소고기,16
2025-07-27T05:59:14.206Z,화염의 심장 스테이크,2025-07-16T02:27:46.113Z,미노타우르스 소고기,22
2025-07-27T05:59:14.355Z,화염의 심장 스테이크,2025-07-16T02:27:46.113Z,미노타우르스 소고기,30
2025-07-27T05:59:14.500Z,화염의 심장 스테이크,2025-07-16T02:27:46.113Z,미노타우르스 소고기,40
