foodIndate,foodName,grade,goldCost,successRate,priceMultiplier
2025-07-16T02:27:36.268Z,미믹 바비큐 플레이트,2,90,60,0
2025-07-16T02:27:36.268Z,미믹 바비큐 플레이트,3,130,40,0
2025-07-16T02:27:36.268Z,미믹 바비큐 플레이트,4,190,30,0
2025-07-16T02:27:36.268Z,미믹 바비큐 플레이트,5,270,20,0
2025-07-16T02:27:36.268Z,미믹 바비큐 플레이트,6,370,10,0
2025-07-16T02:27:36.268Z,미믹 바비큐 플레이트,7,500,5,0
2025-07-16T02:27:36.268Z,미믹 바비큐 플레이트,8,670,3,0
2025-07-16T02:27:36.268Z,미믹 바비큐 플레이트,9,900,1,0
2025-07-16T02:27:36.557Z,버섯 전골,1,90,80,0
2025-07-16T02:27:36.557Z,버섯 전골,2,130,60,0
2025-07-16T02:27:36.557Z,버섯 전골,3,180,40,0
2025-07-16T02:27:36.557Z,버섯 전골,4,250,30,0
2025-07-16T02:27:36.557Z,버섯 전골,5,350,20,0
2025-07-16T02:27:36.557Z,버섯 전골,6,470,10,0
2025-07-16T02:27:36.557Z,버섯 전골,7,630,5,0
2025-07-16T02:27:36.557Z,버섯 전골,8,820,3,0
2025-07-16T02:27:36.557Z,버섯 전골,9,1050,1,0
2025-07-16T02:27:35.109Z,크라켄 먹물 리조또,1,35,80,0
2025-07-16T02:27:35.109Z,크라켄 먹물 리조또,2,50,60,0
2025-07-16T02:27:35.109Z,크라켄 먹물 리조또,3,75,40,0
2025-07-16T02:27:35.109Z,크라켄 먹물 리조또,4,110,30,0
2025-07-16T02:27:35.109Z,크라켄 먹물 리조또,5,160,20,0
2025-07-16T02:27:35.109Z,크라켄 먹물 리조또,6,190,10,0
2025-07-16T02:27:35.109Z,크라켄 먹물 리조또,7,220,5,0
2025-07-16T02:27:35.109Z,크라켄 먹물 리조또,8,310,3,0
2025-07-16T02:27:35.109Z,크라켄 먹물 리조또,9,460,1,0
2025-07-16T02:27:37.318Z,꼬치구이,1,130,80,0
2025-07-16T02:27:37.318Z,꼬치구이,2,190,60,0
2025-07-16T02:27:37.318Z,꼬치구이,3,260,40,0
2025-07-16T02:27:37.318Z,꼬치구이,4,260,30,0
2025-07-16T02:27:37.318Z,꼬치구이,5,500,20,0
2025-07-16T02:27:37.318Z,꼬치구이,6,670,10,0
2025-07-16T02:27:37.318Z,꼬치구이,7,890,5,0
2025-07-16T02:27:37.318Z,꼬치구이,8,1150,3,0
2025-07-16T02:27:37.318Z,꼬치구이,9,1500,1,0
2025-07-16T02:27:36.716Z,오크 해장국,1,110,80,0
2025-07-16T02:27:36.716Z,오크 해장국,2,160,60,0
2025-07-16T02:27:36.716Z,오크 해장국,3,220,40,0
2025-07-16T02:27:36.716Z,오크 해장국,4,310,30,0
2025-07-16T02:27:36.716Z,오크 해장국,5,430,20,0
2025-07-16T02:27:36.716Z,오크 해장국,6,580,10,0
2025-07-16T02:27:36.716Z,오크 해장국,7,770,5,0
2025-07-16T02:27:36.716Z,오크 해장국,8,1000,3,0
2025-07-16T02:27:36.716Z,오크 해장국,9,1300,1,0
2025-07-16T02:27:35.647Z,점액 내장죽,1,35,80,0
2025-07-16T02:27:35.647Z,점액 내장죽,2,55,60,0
2025-07-16T02:27:35.647Z,점액 내장죽,3,80,40,0
2025-07-16T02:27:35.647Z,점액 내장죽,4,120,30,0
2025-07-16T02:27:35.647Z,점액 내장죽,5,170,20,0
2025-07-16T02:27:35.647Z,점액 내장죽,6,240,10,0
2025-07-16T02:27:35.647Z,점액 내장죽,7,320,5,0
2025-07-16T02:27:35.647Z,점액 내장죽,8,440,3,0
2025-07-16T02:27:35.647Z,점액 내장죽,9,590,1,0
2025-07-16T02:27:35.482Z,슬라임 푸딩,1,40,80,0
2025-07-16T02:27:35.482Z,슬라임 푸딩,2,60,60,0
2025-07-16T02:27:35.482Z,슬라임 푸딩,3,90,40,0
2025-07-16T02:27:35.482Z,슬라임 푸딩,4,130,30,0
2025-07-16T02:27:35.482Z,슬라임 푸딩,5,180,20,0
2025-07-16T02:27:35.482Z,슬라임 푸딩,6,250,10,0
2025-07-16T02:27:35.482Z,슬라임 푸딩,7,340,5,0
2025-07-16T02:27:35.482Z,슬라임 푸딩,8,460,3,0
2025-07-16T02:27:35.482Z,슬라임 푸딩,9,600,1,0
2025-07-16T02:27:36.991Z,태양 사냥꾼 오믈렛,1,150,80,0
2025-07-16T02:27:36.991Z,태양 사냥꾼 오믈렛,2,220,60,0
2025-07-16T02:27:36.991Z,태양 사냥꾼 오믈렛,3,310,40,0
2025-07-16T02:27:36.991Z,태양 사냥꾼 오믈렛,4,430,30,0
2025-07-16T02:27:36.991Z,태양 사냥꾼 오믈렛,5,590,20,0
2025-07-16T02:27:36.991Z,태양 사냥꾼 오믈렛,6,780,10,0
2025-07-16T02:27:36.991Z,태양 사냥꾼 오믈렛,7,1030,5,0
2025-07-16T02:27:36.991Z,태양 사냥꾼 오믈렛,8,1330,3,0
2025-07-16T02:27:36.991Z,태양 사냥꾼 오믈렛,9,1720,1,0
2025-07-16T02:27:35.795Z,덩굴버섯 오믈렛,1,150,80,0
2025-07-16T02:27:35.795Z,덩굴버섯 오믈렛,2,100,60,0
2025-07-16T02:27:35.795Z,덩굴버섯 오믈렛,3,140,40,0
2025-07-16T02:27:35.795Z,덩굴버섯 오믈렛,4,200,30,0
2025-07-16T02:27:35.795Z,덩굴버섯 오믈렛,5,280,20,0
2025-07-16T02:27:35.795Z,덩굴버섯 오믈렛,6,390,10,0
2025-07-16T02:27:35.795Z,덩굴버섯 오믈렛,7,520,5,0
2025-07-16T02:27:35.795Z,덩굴버섯 오믈렛,8,690,3,0
2025-07-16T02:27:35.795Z,덩굴버섯 오믈렛,9,900,1,0
2025-07-16T02:27:35.954Z,걷는 버섯 육포,1,70,80,0
2025-07-16T02:27:35.954Z,걷는 버섯 육포,2,100,60,0
2025-07-16T02:27:35.954Z,걷는 버섯 육포,3,140,40,0
2025-07-16T02:27:35.954Z,걷는 버섯 육포,4,200,30,0
2025-07-16T02:27:35.954Z,걷는 버섯 육포,5,280,20,0
2025-07-16T02:27:35.954Z,걷는 버섯 육포,6,390,10,0
2025-07-16T02:27:35.954Z,걷는 버섯 육포,7,520,5,0
2025-07-16T02:27:35.954Z,걷는 버섯 육포,8,690,3,0
2025-07-16T02:27:35.954Z,걷는 버섯 육포,9,900,1,0
